"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","74764","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","49260","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","99345","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","104023","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","117193","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","143000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","64563","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","50812","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","88867","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","64596","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","115401","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","76056","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","68472","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","68445","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","78690","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","63977","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","143315","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","62881","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","102823","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","94442","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","93387","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","138671","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","95472","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","107131","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","65985","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","84965","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","107980","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","114266","2019-2023","2020","Census","Maricopa (County, 2022)"
